지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
160,부산(레),2017-01-01,3,0,6.6
160,부산(레),2017-01-02,5.6,0,6.8
160,부산(레),2017-01-03,4.3,0,6.5
160,부산(레),2017-01-04,4.6,0,7.5
160,부산(레),2017-01-05,4,0,6
160,부산(레),2017-01-06,3.5,0,4.6
160,부산(레),2017-01-07,5.5,0,3.6
160,부산(레),2017-01-08,5.9,6.5,4.8
160,부산(레),2017-01-09,3.4,0,8.3
160,부산(레),2017-01-10,-.6,0,9.4
160,부산(레),2017-01-11,-3.6,0,8.8
160,부산(레),2017-01-12,-.2,0,6.9
160,부산(레),2017-01-13,-2.9,0,7.6
160,부산(레),2017-01-14,-6.8,0,10.2
160,부산(레),2017-01-15,-6,0,9.8
160,부산(레),2017-01-16,-2.9,0,6.4
160,부산(레),2017-01-17,2,0,2.9
160,부산(레),2017-01-18,1.2,0,6.9
160,부산(레),2017-01-19,2.1,0,4.2
160,부산(레),2017-01-20,-2.2,0,9.5
160,부산(레),2017-01-21,-4,0,8.1
160,부산(레),2017-01-22,-4,0,7.9
160,부산(레),2017-01-23,-7.1,0,9.1
160,부산(레),2017-01-24,-5.1,0,9.8
160,부산(레),2017-01-25,-2.5,0,7.6
160,부산(레),2017-01-26,.5,0,7
160,부산(레),2017-01-27,3,0,7.6
160,부산(레),2017-01-28,4.1,0,4.2
160,부산(레),2017-01-29,6.3,6.5,3.7
160,부산(레),2017-01-30,-1.1,1,9.9
160,부산(레),2017-01-31,0,0,3.8
160,부산(레),2017-02-01,-1.6,0,9.8
160,부산(레),2017-02-02,-.5,0,9
160,부산(레),2017-02-03,2.1,0,7.2
160,부산(레),2017-02-04,5.9,0,4.9
160,부산(레),2017-02-05,3.8,6.5,5.5
160,부산(레),2017-02-06,-.3,0,6.8
160,부산(레),2017-02-07,1,0,3.4
160,부산(레),2017-02-08,2.7,0,3.5
160,부산(레),2017-02-09,-3.6,0,11.3
160,부산(레),2017-02-10,-6.2,0,10.1
160,부산(레),2017-02-11,-5.2,0,8.6
160,부산(레),2017-02-12,-2.3,0,8.6
160,부산(레),2017-02-13,.4,0,6.4
160,부산(레),2017-02-14,1.3,0,3.8
160,부산(레),2017-02-15,3.9,0,5.2
160,부산(레),2017-02-16,7.9,1,6.8
160,부산(레),2017-02-17,8.1,2.5,8.4
160,부산(레),2017-02-18,-.5,0,9.5
160,부산(레),2017-02-19,2.4,0,5.8
160,부산(레),2017-02-20,4.7,1,8.9
160,부산(레),2017-02-21,.8,0,5.3
160,부산(레),2017-02-22,5.5,23,6.7
160,부산(레),2017-02-23,.7,0,10.5
160,부산(레),2017-02-24,-1.3,0,8.7
160,부산(레),2017-02-25,1.7,0,5.8
160,부산(레),2017-02-26,2.5,0,5.3
160,부산(레),2017-02-27,3.8,0,3.9
160,부산(레),2017-02-28,5.8,0,2.5
160,부산(레),2017-03-01,6.3,7.5,2.8
160,부산(레),2017-03-02,2.4,1,8.5
160,부산(레),2017-03-03,3.5,0,5
160,부산(레),2017-03-04,6.6,0,3.8
160,부산(레),2017-03-05,7,0,4.6
160,부산(레),2017-03-06,2.5,0,8.5
160,부산(레),2017-03-07,-1.5,0,7.1
160,부산(레),2017-03-08,-1.6,0,6.7
160,부산(레),2017-03-09,2.5,0,6.6
160,부산(레),2017-03-10,4.7,0,5.1
160,부산(레),2017-03-11,6.2,0,4.7
160,부산(레),2017-03-12,8.3,0,3.1
160,부산(레),2017-03-13,6.7,0,5.9
160,부산(레),2017-03-14,4.7,0,3.4
160,부산(레),2017-03-15,3,0,5.1
160,부산(레),2017-03-16,5.1,0,3.1
160,부산(레),2017-03-17,7.5,0,4.2
160,부산(레),2017-03-18,8.2,0,4.1
160,부산(레),2017-03-19,8.6,0,5.5
160,부산(레),2017-03-20,7.1,6.5,4.9
160,부산(레),2017-03-21,5.2,4.5,5.8
160,부산(레),2017-03-22,5.7,0,3.7
160,부산(레),2017-03-23,7.6,0,4.7
160,부산(레),2017-03-24,5.5,0,5.8
160,부산(레),2017-03-25,4.9,4.5,5.7
160,부산(레),2017-03-26,3,9,4
160,부산(레),2017-03-27,3.1,.5,8.1
160,부산(레),2017-03-28,5.6,0,4.6
160,부산(레),2017-03-29,5.7,3.5,2.6
160,부산(레),2017-03-30,8.8,0,6.3
160,부산(레),2017-03-31,5.7,.5,5.1
160,부산(레),2017-04-01,4.9,.5,2.8
160,부산(레),2017-04-02,5.5,0,5.3
160,부산(레),2017-04-03,11.2,0,6.7
160,부산(레),2017-04-04,12.7,0,4.8
160,부산(레),2017-04-05,11,18,6.8
160,부산(레),2017-04-06,12.9,36,5.9
160,부산(레),2017-04-07,13.3,0,5.1
160,부산(레),2017-04-08,16.2,0,2.9
160,부산(레),2017-04-09,10.5,0,5.7
160,부산(레),2017-04-10,8.1,.5,7.5
160,부산(레),2017-04-11,9.6,19.5,6.8
160,부산(레),2017-04-12,10,0,6.2
160,부산(레),2017-04-13,11.6,0,5
160,부산(레),2017-04-14,12.6,0,4.5
160,부산(레),2017-04-15,14.5,0,5.5
160,부산(레),2017-04-16,17.7,0,3.3
160,부산(레),2017-04-17,13.9,48.5,4.9
160,부산(레),2017-04-18,11.6,0,4.6
160,부산(레),2017-04-19,11.8,0,5.3
160,부산(레),2017-04-20,12.4,0,3.3
160,부산(레),2017-04-21,11.6,0,5.2
160,부산(레),2017-04-22,9.8,0,3.9
160,부산(레),2017-04-23,12.2,0,2.3
160,부산(레),2017-04-24,13.3,0,3.2
160,부산(레),2017-04-25,14.2,0,3.7
160,부산(레),2017-04-26,10.9,12,4.4
160,부산(레),2017-04-27,10.9,0,5.5
160,부산(레),2017-04-28,12.8,0,5.2
160,부산(레),2017-04-29,15.4,0,5.1
160,부산(레),2017-04-30,16.5,0,6.9
160,부산(레),2017-05-01,14.4,0,6.1
160,부산(레),2017-05-02,12.9,0,5.3
160,부산(레),2017-05-03,15.8,0,3.4
160,부산(레),2017-05-04,15.9,0,4
160,부산(레),2017-05-05,16.1,10,3.1
160,부산(레),2017-05-06,15.6,0,6.6
160,부산(레),2017-05-07,16.2,0,6.6
160,부산(레),2017-05-08,17.2,0,6.7
160,부산(레),2017-05-09,12.2,16.5,5.7
160,부산(레),2017-05-10,13.7,0,4.2
160,부산(레),2017-05-11,16.7,0,5.5
160,부산(레),2017-05-12,14.9,11.5,4.4
160,부산(레),2017-05-13,15.1,0,4.9
160,부산(레),2017-05-14,15.4,0,6
160,부산(레),2017-05-15,14,0,5.8
160,부산(레),2017-05-16,14,0,4.9
160,부산(레),2017-05-17,14.9,0,3.4
160,부산(레),2017-05-18,17.4,0,4.6
160,부산(레),2017-05-19,19.7,0,6.3
160,부산(레),2017-05-20,19.3,0,6.2
160,부산(레),2017-05-21,18.3,0,4.9
160,부산(레),2017-05-22,18.3,0,3.6
160,부산(레),2017-05-23,17.5,0,4.1
160,부산(레),2017-05-24,16.3,0,3.8
160,부산(레),2017-05-25,18.8,0,5.3
160,부산(레),2017-05-26,13.1,0,4.5
160,부산(레),2017-05-27,15.4,0,2.2
160,부산(레),2017-05-28,16.7,0,5.1
160,부산(레),2017-05-29,23.1,0,6.3
160,부산(레),2017-05-30,24.5,0,3.6
160,부산(레),2017-05-31,19,0,4.5
160,부산(레),2017-06-01,19.1,0,3.9
160,부산(레),2017-06-02,14.7,0,4.5
160,부산(레),2017-06-03,15.9,0,3.6
160,부산(레),2017-06-04,17.4,0,3.7
160,부산(레),2017-06-05,16.5,0,4.7
160,부산(레),2017-06-06,14.6,.5,6.6
160,부산(레),2017-06-07,16.2,50,6.7
160,부산(레),2017-06-08,18.2,0,5.9
160,부산(레),2017-06-09,20,0,5.6
160,부산(레),2017-06-10,17.9,0,5.3
160,부산(레),2017-06-11,16.1,0,4.7
160,부산(레),2017-06-12,14.3,0,5.3
160,부산(레),2017-06-13,15,0,3.5
160,부산(레),2017-06-14,17.9,0,4.2
160,부산(레),2017-06-15,21.6,0,5.7
160,부산(레),2017-06-16,16.8,0,6
160,부산(레),2017-06-17,17.5,0,4.1
160,부산(레),2017-06-18,19.9,0,2.9
160,부산(레),2017-06-19,21.6,0,4.6
160,부산(레),2017-06-20,18.5,3,5.5
160,부산(레),2017-06-21,18.6,0,4.4
160,부산(레),2017-06-22,19.8,0,3.5
160,부산(레),2017-06-23,21.1,0,4
160,부산(레),2017-06-24,20,0,3.6
160,부산(레),2017-06-25,19.6,0,2.5
160,부산(레),2017-06-26,18.6,0,4.7
160,부산(레),2017-06-27,18.9,0,4.5
160,부산(레),2017-06-28,20.6,0,3
160,부산(레),2017-06-29,19.5,17.5,2.2
160,부산(레),2017-06-30,21.1,.5,3.7
160,부산(레),2017-07-01,21.9,.5,4.9
160,부산(레),2017-07-02,22.2,3.5,3.6
160,부산(레),2017-07-03,21.9,.5,3.9
160,부산(레),2017-07-04,22.1,114,4
160,부산(레),2017-07-05,21.2,20.5,2.5
160,부산(레),2017-07-06,21.3,3.5,2.9
160,부산(레),2017-07-07,22.4,4,3.8
160,부산(레),2017-07-08,22.8,2,3.3
160,부산(레),2017-07-09,23,.5,3.8
160,부산(레),2017-07-10,23,2,3.7
160,부산(레),2017-07-11,22,.5,4.2
160,부산(레),2017-07-12,24.1,0,5.8
160,부산(레),2017-07-13,24.1,0,4.7
160,부산(레),2017-07-14,23.6,0,4.9
160,부산(레),2017-07-15,23.6,0,3.5
160,부산(레),2017-07-16,23.9,0,5.6
160,부산(레),2017-07-17,23.5,2,6.9
160,부산(레),2017-07-18,23.1,11,5.3
160,부산(레),2017-07-19,23.8,0,3.9
160,부산(레),2017-07-20,24.5,0,3
160,부산(레),2017-07-21,26.3,0,4.9
160,부산(레),2017-07-22,26.7,0,2.9
160,부산(레),2017-07-23,25,0,4.5
160,부산(레),2017-07-24,26.5,8.5,3.3
160,부산(레),2017-07-25,23.1,0,4.1
160,부산(레),2017-07-26,21.9,0,5
160,부산(레),2017-07-27,21.6,0,4.3
160,부산(레),2017-07-28,24.6,0,1.8
160,부산(레),2017-07-29,21.8,0,4.6
160,부산(레),2017-07-30,23,0,2.8
160,부산(레),2017-07-31,23.5,3.5,3.2
160,부산(레),2017-08-01,23.4,0,3.5
160,부산(레),2017-08-02,22.4,0,4
160,부산(레),2017-08-03,23.5,0,5.5
160,부산(레),2017-08-04,25.6,0,5.3
160,부산(레),2017-08-05,26.1,0,5.2
160,부산(레),2017-08-06,27.5,0,5.3
160,부산(레),2017-08-07,25.5,0,4.1
160,부산(레),2017-08-08,25.7,0,3.8
160,부산(레),2017-08-09,23.5,18,2.1
160,부산(레),2017-08-10,24.2,0,2.7
160,부산(레),2017-08-11,22.7,0,4.4
160,부산(레),2017-08-12,21.9,0,3.9
160,부산(레),2017-08-13,20.8,0,4.8
160,부산(레),2017-08-14,20.3,28,6.7
160,부산(레),2017-08-15,21.5,6.5,3.9
160,부산(레),2017-08-16,22.5,6,2.3
160,부산(레),2017-08-17,22,0,3.6
160,부산(레),2017-08-18,21.8,0,2.8
160,부산(레),2017-08-19,22.1,0,3.7
160,부산(레),2017-08-20,22.4,1,5.7
160,부산(레),2017-08-21,23.2,0,4.7
160,부산(레),2017-08-22,23.3,19.5,3.2
160,부산(레),2017-08-23,25,0,3.9
160,부산(레),2017-08-24,24.9,0,5.6
160,부산(레),2017-08-25,23.6,0,4.1
160,부산(레),2017-08-26,21.8,0,4.8
160,부산(레),2017-08-27,21.8,0,3.7
160,부산(레),2017-08-28,22.2,0,3.9
160,부산(레),2017-08-29,21.6,0,4.4
160,부산(레),2017-08-30,19.6,0,3.4
160,부산(레),2017-08-31,18.9,0,5.3
160,부산(레),2017-09-01,18.4,0,5.3
160,부산(레),2017-09-02,17.9,0,4.4
160,부산(레),2017-09-03,18.6,0,4.8
160,부산(레),2017-09-04,19.1,0,4.8
160,부산(레),2017-09-05,19.7,.5,3.3
160,부산(레),2017-09-06,19.8,40,2.4
160,부산(레),2017-09-07,18.1,10.5,3.5
160,부산(레),2017-09-08,20.4,0,3.6
160,부산(레),2017-09-09,21.8,0,2
160,부산(레),2017-09-10,21.1,0,4.2
160,부산(레),2017-09-11,20.2,203,5.8
160,부산(레),2017-09-12,20.1,0,4.4
160,부산(레),2017-09-13,18.6,0,5.5
160,부산(레),2017-09-14,18.6,0,5.1
160,부산(레),2017-09-15,17.8,0,8.3
160,부산(레),2017-09-16,18,0,8.3
160,부산(레),2017-09-17,18.1,9.5,6.8
160,부산(레),2017-09-18,19.3,0,3
160,부산(레),2017-09-19,19.3,0,4.7
160,부산(레),2017-09-20,19.1,0,5.3
160,부산(레),2017-09-21,17.8,0,4.4
160,부산(레),2017-09-22,18.3,0,2.3
160,부산(레),2017-09-23,19.2,0,2.7
160,부산(레),2017-09-24,20.5,0,2.8
160,부산(레),2017-09-25,20.2,0,4.9
160,부산(레),2017-09-26,19,0,5
160,부산(레),2017-09-27,16.9,18,8.2
160,부산(레),2017-09-28,17,0,5.3
160,부산(레),2017-09-29,14.2,0,5.4
160,부산(레),2017-09-30,17.9,0,3.8
160,부산(레),2017-10-01,17.8,6.5,5.4
160,부산(레),2017-10-02,18.4,60.5,6
160,부산(레),2017-10-03,16.9,0,4.6
160,부산(레),2017-10-04,14.7,.5,5.7
160,부산(레),2017-10-05,14.5,2,5.8
160,부산(레),2017-10-06,15.7,8,3.8
160,부산(레),2017-10-07,17.7,0,2.9
160,부산(레),2017-10-08,18.6,0,3.7
160,부산(레),2017-10-09,19.8,0,1.9
160,부산(레),2017-10-10,19.9,0,4.1
160,부산(레),2017-10-11,18.8,0,3.4
160,부산(레),2017-10-12,13,12.5,5.1
160,부산(레),2017-10-13,12.4,0,5.3
160,부산(레),2017-10-14,12.8,0,5.8
160,부산(레),2017-10-15,12.5,11.5,6.8
160,부산(레),2017-10-16,13.9,0,5.7
160,부산(레),2017-10-17,14.1,0,5.8
160,부산(레),2017-10-18,13.4,0,6.7
160,부산(레),2017-10-19,13.7,0,5.3
160,부산(레),2017-10-20,14,0,5.1
160,부산(레),2017-10-21,14.3,0,6.2
160,부산(레),2017-10-22,14,0,8.7
160,부산(레),2017-10-23,10.9,0,5.1
160,부산(레),2017-10-24,10.7,1,2.6
160,부산(레),2017-10-25,11.5,0,3.2
160,부산(레),2017-10-26,13.2,0,2.9
160,부산(레),2017-10-27,14.3,0,3.6
160,부산(레),2017-10-28,14.4,0,5.1
160,부산(레),2017-10-29,12.7,0,7.9
160,부산(레),2017-10-30,7.1,0,7.9
160,부산(레),2017-10-31,10.5,0,4.9
160,부산(레),2017-11-01,11.7,0,5.1
160,부산(레),2017-11-02,12.9,0,3.8
160,부산(레),2017-11-03,12.7,0,6.8
160,부산(레),2017-11-04,6.8,0,6.8
160,부산(레),2017-11-05,8.5,0,5.2
160,부산(레),2017-11-06,10.4,0,6.5
160,부산(레),2017-11-07,12.6,0,5.3
160,부산(레),2017-11-08,14.4,0,5.8
160,부산(레),2017-11-09,11.5,0,4.3
160,부산(레),2017-11-10,13.1,0,6.1
160,부산(레),2017-11-11,6,0,6.4
160,부산(레),2017-11-12,7.9,0,3.5
160,부산(레),2017-11-13,9.7,0,5.7
160,부산(레),2017-11-14,9.3,0,7.5
160,부산(레),2017-11-15,4.9,0,5.3
160,부산(레),2017-11-16,3.1,0,4.1
160,부산(레),2017-11-17,8,0,3.3
