지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
642,문화,2017-01-01,3.9,0,.5
642,문화,2017-01-02,5,0,1.1
642,문화,2017-01-03,3.5,0,.9
642,문화,2017-01-04,4.2,0,.6
642,문화,2017-01-05,5,0,1
642,문화,2017-01-06,6.6,0,1.1
642,문화,2017-01-07,4.9,0,.5
642,문화,2017-01-08,9,0,1.2
642,문화,2017-01-09,4.8,0,2
642,문화,2017-01-10,.5,0,1.7
642,문화,2017-01-11,-2.6,0,1.5
642,문화,2017-01-12,.1,0,1.3
642,문화,2017-01-13,-3.1,0,1.4
642,문화,2017-01-14,-5.5,0,2.2
642,문화,2017-01-15,-5.2,0,.9
642,문화,2017-01-16,-3.9,0,.5
642,문화,2017-01-17,-2.7,0,.3
642,문화,2017-01-18,-.2,0,.3
642,문화,2017-01-19,.2,0,.6
642,문화,2017-01-20,-1.9,1.5,1.7
642,문화,2017-01-21,-2.5,1,1.2
642,문화,2017-01-22,-4.1,0,2.1
642,문화,2017-01-23,-5.7,0,1.4
642,문화,2017-01-24,-4.9,0,.6
642,문화,2017-01-25,-4.2,0,.7
642,문화,2017-01-26,-1.2,0,.8
642,문화,2017-01-27,1.4,1.5,1.9
642,문화,2017-01-28,.6,0,.6
642,문화,2017-01-29,3.2,5,.5
642,문화,2017-01-30,-1.8,1,1.6
642,문화,2017-01-31,-3.5,0,.8
642,문화,2017-02-01,-1.7,0,1.4
642,문화,2017-02-02,-1.3,0,1.2
642,문화,2017-02-03,1.8,0,.5
642,문화,2017-02-04,3.2,0,.4
642,문화,2017-02-05,3.6,0,1.2
642,문화,2017-02-06,.5,0,1.9
642,문화,2017-02-07,0,0,.7
642,문화,2017-02-08,.2,0,1.2
642,문화,2017-02-09,-2.5,0,2.3
642,문화,2017-02-10,-4,0,2.5
642,문화,2017-02-11,-2.4,0,1.7
642,문화,2017-02-12,.1,0,1.1
642,문화,2017-02-13,.9,.5,.7
642,문화,2017-02-14,2.3,0,.9
642,문화,2017-02-15,2.5,0,.5
642,문화,2017-02-16,7.9,2.5,1.1
642,문화,2017-02-17,5.1,2,2.2
642,문화,2017-02-18,-.5,0,1.9
642,문화,2017-02-19,3.7,2.5,1
642,문화,2017-02-20,2.5,14,2.3
642,문화,2017-02-21,1.1,0,.6
642,문화,2017-02-22,3.4,15,.7
642,문화,2017-02-23,1,0,2.1
642,문화,2017-02-24,.8,0,1.5
642,문화,2017-02-25,3.9,0,1.3
642,문화,2017-02-26,4.9,0,1.1
642,문화,2017-02-27,4.5,0,.7
642,문화,2017-02-28,5.7,0,.8
642,문화,2017-03-01,6.5,0,.8
642,문화,2017-03-02,3.5,1,2.2
642,문화,2017-03-03,4.2,0,.9
642,문화,2017-03-04,6.4,0,.9
642,문화,2017-03-05,6.7,0,1.1
642,문화,2017-03-06,2.4,0,2.4
642,문화,2017-03-07,-.2,.5,2
642,문화,2017-03-08,1.4,0,2.2
642,문화,2017-03-09,4.7,0,2.7
642,문화,2017-03-10,6.4,0,1.3
642,문화,2017-03-11,7.6,0,.6
642,문화,2017-03-12,9.2,0,.9
642,문화,2017-03-13,8.3,0,1.5
642,문화,2017-03-14,6.1,0,1.5
642,문화,2017-03-15,5.9,0,.9
642,문화,2017-03-16,6.4,0,1.1
642,문화,2017-03-17,8,0,.8
642,문화,2017-03-18,9.5,0,.9
642,문화,2017-03-19,10.1,0,.7
642,문화,2017-03-20,8.5,.5,.7
642,문화,2017-03-21,8.7,0,1.9
642,문화,2017-03-22,7.7,0,.9
642,문화,2017-03-23,10.2,0,1
642,문화,2017-03-24,9.2,0,.9
642,문화,2017-03-25,7.6,1,1.2
642,문화,2017-03-26,6.7,0,1.1
642,문화,2017-03-27,6.8,0,1.6
642,문화,2017-03-28,8.6,0,1.5
642,문화,2017-03-29,10,1.5,1.1
642,문화,2017-03-30,11.8,0,1.1
642,문화,2017-03-31,10.2,8.5,1
642,문화,2017-04-01,9.3,.5,1.1
642,문화,2017-04-02,9.3,0,1.3
642,문화,2017-04-03,11.8,0,1.6
642,문화,2017-04-04,14.5,0,1.1
642,문화,2017-04-05,12.9,12.5,.8
642,문화,2017-04-06,13.9,13.5,1.8
642,문화,2017-04-07,16.4,0,1.4
642,문화,2017-04-08,16.8,0,1
642,문화,2017-04-09,14.2,0,1.7
642,문화,2017-04-10,15.1,0,1.9
642,문화,2017-04-11,12.7,12,1.7
642,문화,2017-04-12,12.4,0,2
642,문화,2017-04-13,13.9,0,1.9
642,문화,2017-04-14,16.5,0,2.3
642,문화,2017-04-15,18.6,0,1.5
642,문화,2017-04-16,20.2,0,.7
642,문화,2017-04-17,14.1,25.5,.9
642,문화,2017-04-18,14.2,1,2.3
642,문화,2017-04-19,13.5,0,2.3
642,문화,2017-04-20,11.1,2,.6
642,문화,2017-04-21,13,0,.8
642,문화,2017-04-22,14.9,0,.9
642,문화,2017-04-23,15.2,0,1.3
642,문화,2017-04-24,15.3,0,1.2
642,문화,2017-04-25,17.4,0,1.5
642,문화,2017-04-26,15.7,.5,1.7
642,문화,2017-04-27,13.8,0,1.8
642,문화,2017-04-28,15.5,0,2.5
642,문화,2017-04-29,18.2,0,1.9
642,문화,2017-04-30,20.2,0,2.2
642,문화,2017-05-01,20.3,0,1.2
642,문화,2017-05-02,20.1,0,1
642,문화,2017-05-03,21.2,0,.9
642,문화,2017-05-04,21.7,0,1.1
642,문화,2017-05-05,21.3,.5,1.8
642,문화,2017-05-06,16.9,0,2.4
642,문화,2017-05-07,18.2,0,2.4
642,문화,2017-05-08,18.1,0,1.3
642,문화,2017-05-09,15.6,7.5,1.3
642,문화,2017-05-10,15.6,1,1.6
642,문화,2017-05-11,19.1,.5,1
642,문화,2017-05-12,20.2,0,1
642,문화,2017-05-13,18.6,0,1.9
642,문화,2017-05-14,17,0,2.8
642,문화,2017-05-15,17,0,2.7
642,문화,2017-05-16,16.9,0,1.4
642,문화,2017-05-17,18.8,0,1
642,문화,2017-05-18,20.6,0,1.3
642,문화,2017-05-19,21.6,0,1.5
642,문화,2017-05-20,21.2,0,1.1
642,문화,2017-05-21,21.4,0,1.2
642,문화,2017-05-22,22,0,1.2
642,문화,2017-05-23,21.3,0,1.1
642,문화,2017-05-24,20.7,5.5,.9
642,문화,2017-05-25,20,0,2.2
642,문화,2017-05-26,17.1,0,1.9
642,문화,2017-05-27,19.1,0,1.4
642,문화,2017-05-28,21.7,0,1.9
642,문화,2017-05-29,24.2,0,2
642,문화,2017-05-30,23.8,0,1.1
642,문화,2017-05-31,21.8,7.5,1
