지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
828,달성,2017-01-01,1.8,0,1.3
828,달성,2017-01-02,4.3,0,1.2
828,달성,2017-01-03,3.2,0,1.7
828,달성,2017-01-04,1.9,0,.9
828,달성,2017-01-05,4.7,0,2.5
828,달성,2017-01-06,5.1,0,1.9
828,달성,2017-01-07,3.5,0,1.6
828,달성,2017-01-08,7.3,0,2.4
828,달성,2017-01-09,5.3,0,2.5
828,달성,2017-01-10,1.6,0,3.7
828,달성,2017-01-11,-.8,0,3.8
828,달성,2017-01-12,1.2,0,2.1
828,달성,2017-01-13,-.1,0,3.1
828,달성,2017-01-14,-3.8,0,4.5
828,달성,2017-01-15,-3.4,0,2.4
828,달성,2017-01-16,-1.9,0,2.7
828,달성,2017-01-17,-.9,0,1.4
828,달성,2017-01-18,2,0,2.8
828,달성,2017-01-19,1.2,0,1.7
828,달성,2017-01-20,-.8,0,3.1
828,달성,2017-01-21,-2.4,0,2
828,달성,2017-01-22,-1.7,0,4.7
828,달성,2017-01-23,-3.8,0,3.3
828,달성,2017-01-24,-3.3,0,2.5
828,달성,2017-01-25,-1.5,0,2.5
828,달성,2017-01-26,0,0,2.2
828,달성,2017-01-27,4.4,0,3.8
828,달성,2017-01-28,2.5,0,2.1
828,달성,2017-01-29,3.9,0,1.4
828,달성,2017-01-30,1.2,.5,4.4
828,달성,2017-01-31,-.5,0,2.6
828,달성,2017-02-01,1.4,0,4
828,달성,2017-02-02,1.4,0,3.6
828,달성,2017-02-03,2.7,0,2.5
828,달성,2017-02-04,6.5,0,2.1
828,달성,2017-02-05,6.2,1.5,2.7
828,달성,2017-02-06,2.5,0,4.1
828,달성,2017-02-07,1.8,0,2
828,달성,2017-02-08,3,0,2.4
828,달성,2017-02-09,-.4,0,4.9
828,달성,2017-02-10,-2.5,0,4.7
828,달성,2017-02-11,-1.7,0,3.2
828,달성,2017-02-12,-.3,0,1.9
828,달성,2017-02-13,1.6,0,1.5
828,달성,2017-02-14,2.5,0,2.3
828,달성,2017-02-15,2.1,0,1
828,달성,2017-02-16,7.5,0,3.1
828,달성,2017-02-17,9.4,0,3.9
828,달성,2017-02-18,1.7,0,4.3
828,달성,2017-02-19,4.5,0,3.1
828,달성,2017-02-20,6.2,3,4.4
828,달성,2017-02-21,2.9,0,2.2
828,달성,2017-02-22,3.8,24.5,1.8
828,달성,2017-02-23,3.2,0,4.4
828,달성,2017-02-24,1.5,0,3.7
828,달성,2017-02-25,2.6,0,1.3
828,달성,2017-02-26,3.6,0,1.7
828,달성,2017-02-27,5.9,0,1.8
828,달성,2017-02-28,6.1,0,1.4
828,달성,2017-03-01,7.3,1,1.8
828,달성,2017-03-02,4.9,1.5,3.3
