지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
310,궁촌,2017-01-01,6.9,0,1.9
310,궁촌,2017-01-02,8.9,0,2
310,궁촌,2017-01-03,6.5,0,1.8
310,궁촌,2017-01-04,5.6,0,2.3
310,궁촌,2017-01-05,3.4,23,2.2
310,궁촌,2017-01-06,3.5,1,1.4
310,궁촌,2017-01-07,4.6,0,.8
310,궁촌,2017-01-08,6.8,1.5,1.8
310,궁촌,2017-01-09,6.8,0,2.4
310,궁촌,2017-01-10,2.2,0,2.3
310,궁촌,2017-01-11,-.1,0,2.1
310,궁촌,2017-01-12,1.7,0,2.3
310,궁촌,2017-01-13,-.9,0,2.8
310,궁촌,2017-01-14,-4.5,0,3.6
310,궁촌,2017-01-15,-.6,0,2.8
310,궁촌,2017-01-16,1.4,0,3.1
310,궁촌,2017-01-17,1.5,0,1.6
310,궁촌,2017-01-18,4,0,2.3
310,궁촌,2017-01-19,1.8,0,1.5
310,궁촌,2017-01-20,.2,15,2.7
310,궁촌,2017-01-21,-1.6,0,2.1
310,궁촌,2017-01-22,-2.6,0,2.4
310,궁촌,2017-01-23,-3.6,0,2.9
310,궁촌,2017-01-24,-1.8,0,2.7
310,궁촌,2017-01-25,-1.6,0,1.2
310,궁촌,2017-01-26,3,0,1.4
310,궁촌,2017-01-27,5,0,3
310,궁촌,2017-01-28,3.1,0,1.6
310,궁촌,2017-01-29,4.7,.5,.9
310,궁촌,2017-01-30,.6,5.5,2.5
310,궁촌,2017-01-31,-.1,0,1.2
310,궁촌,2017-02-01,2,0,3.1
310,궁촌,2017-02-02,5.2,0,2.9
310,궁촌,2017-02-03,4.8,0,2.6
310,궁촌,2017-02-04,5.9,0,1.6
310,궁촌,2017-02-05,7.4,0,2.1
310,궁촌,2017-02-06,3.2,0,3.7
310,궁촌,2017-02-07,2.5,0,1.9
310,궁촌,2017-02-08,3.4,0,1.4
310,궁촌,2017-02-09,.1,0,3.2
310,궁촌,2017-02-10,-2.9,0,3.1
310,궁촌,2017-02-11,-1,0,3
310,궁촌,2017-02-12,1.6,0,2.5
310,궁촌,2017-02-13,2.9,0,2.4
310,궁촌,2017-02-14,1.3,0,1.9
310,궁촌,2017-02-15,5.8,0,1.4
310,궁촌,2017-02-16,9.7,0,1.6
310,궁촌,2017-02-17,7.9,0,3
310,궁촌,2017-02-18,3.1,0,3.1
310,궁촌,2017-02-19,5,0,1.8
310,궁촌,2017-02-20,5.4,0,3.9
310,궁촌,2017-02-21,2.7,0,2.1
310,궁촌,2017-02-22,4.7,4.5,1.5
310,궁촌,2017-02-23,4.3,0,2.9
310,궁촌,2017-02-24,3,0,3.2
310,궁촌,2017-02-25,4.8,0,2.1
310,궁촌,2017-02-26,3.4,0,1.9
310,궁촌,2017-02-27,3.4,.5,2
310,궁촌,2017-02-28,6.7,0,2
310,궁촌,2017-03-01,8.9,0,2.3
310,궁촌,2017-03-02,3.5,10,2
310,궁촌,2017-03-03,6.2,0,2.1
310,궁촌,2017-03-04,7.8,0,1.5
310,궁촌,2017-03-05,7.2,0,1.4
310,궁촌,2017-03-06,4.1,0,3
310,궁촌,2017-03-07,2,0,2.7
310,궁촌,2017-03-08,3,0,3.3
310,궁촌,2017-03-09,6.8,0,3.1
310,궁촌,2017-03-10,5.3,0,2.1
310,궁촌,2017-03-11,7.1,0,1.9
310,궁촌,2017-03-12,10.1,0,1.5
