지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
316,무등산,2017-01-01,.6,0,2.2
316,무등산,2017-01-02,2.2,0,6
316,무등산,2017-01-03,.7,0,3.5
316,무등산,2017-01-04,1.8,0,4.5
316,무등산,2017-01-05,2.4,0,5.8
316,무등산,2017-01-06,2.1,0,4.3
316,무등산,2017-01-07,2.1,0,3.7
316,무등산,2017-01-08,2.9,1,5.5
316,무등산,2017-01-09,-2.9,0,5.4
316,무등산,2017-01-10,-5.8,0,3.9
316,무등산,2017-01-11,-7.8,0,6.9
316,무등산,2017-01-12,-4.4,0,7.8
316,무등산,2017-01-13,-7,0,7.1
316,무등산,2017-01-14,-11.4,0,2.9
316,무등산,2017-01-15,-10.1,0,5.9
316,무등산,2017-01-16,-6.7,0,4.4
316,무등산,2017-01-17,-3.1,0,2.7
316,무등산,2017-01-18,-3.4,0,7.9
316,무등산,2017-01-19,-2.5,0,5.3
316,무등산,2017-01-20,-7.9,.5,7.2
316,무등산,2017-01-21,-7.4,0,4.8
316,무등산,2017-01-22,-9.4,0,6.6
316,무등산,2017-01-23,-11.3,0,2.3
316,무등산,2017-01-24,-9.5,0,3.2
316,무등산,2017-01-25,-7.7,0,4.8
316,무등산,2017-01-26,-1.3,0,5
316,무등산,2017-01-27,-3.3,0,6
316,무등산,2017-01-28,2.1,0,3.1
316,무등산,2017-01-29,3.9,1,6.1
316,무등산,2017-01-30,-8.2,.5,5.3
316,무등산,2017-01-31,-4.3,0,3.1
316,무등산,2017-02-01,-7.1,0,6.1
316,무등산,2017-02-02,-4.6,0,7.8
316,무등산,2017-02-03,-.1,0,4.2
316,무등산,2017-02-04,3,.5,3.3
316,무등산,2017-02-05,-.7,.5,7
316,무등산,2017-02-06,-6.3,0,5.4
316,무등산,2017-02-07,-1.5,0,5.2
316,무등산,2017-02-08,-3.9,0,3.5
316,무등산,2017-02-09,-9.5,0,6.8
316,무등산,2017-02-10,-11,0,4.8
316,무등산,2017-02-11,-9.4,0,5
316,무등산,2017-02-12,-7,0,3.6
316,무등산,2017-02-13,-2.6,0,6.5
316,무등산,2017-02-14,-2.8,0,4.2
316,무등산,2017-02-15,2.7,0,1.9
316,무등산,2017-02-16,4.8,3,8
316,무등산,2017-02-17,-1,1,5.6
316,무등산,2017-02-18,-6.5,0,4.2
316,무등산,2017-02-19,.5,0,7.6
316,무등산,2017-02-20,-3.5,4,8.1
316,무등산,2017-02-21,-.9,0,5.9
316,무등산,2017-02-22,1.8,11.5,9.7
316,무등산,2017-02-23,-6.5,0,4.1
316,무등산,2017-02-24,-6.1,0,4.8
316,무등산,2017-02-25,-1.9,0,7.2
316,무등산,2017-02-26,-.9,0,4.7
316,무등산,2017-02-27,1.2,0,2.9
316,무등산,2017-02-28,2.5,0,2.4
316,무등산,2017-03-01,2.4,.5,4.2
316,무등산,2017-03-02,-5.2,3,6
316,무등산,2017-03-03,.2,0,4.7
316,무등산,2017-03-04,3.6,0,2.5
316,무등산,2017-03-05,3.4,0,2.9
316,무등산,2017-03-06,-4.9,0,3.6
316,무등산,2017-03-07,-7.6,0,7.1
316,무등산,2017-03-08,-5.9,0,8.7
316,무등산,2017-03-09,-1.3,0,9.6
316,무등산,2017-03-10,1.4,0,3.4
316,무등산,2017-03-11,5.2,0,2.4
316,무등산,2017-03-12,6.6,0,2.8
316,무등산,2017-03-13,3,0,5.1
316,무등산,2017-03-14,-.3,0,6.1
316,무등산,2017-03-15,1,0,4.1
316,무등산,2017-03-16,1.9,0,4.1
316,무등산,2017-03-17,4.2,0,5.9
316,무등산,2017-03-18,5.8,0,3.1
316,무등산,2017-03-19,6.8,0,4.2
316,무등산,2017-03-20,3.1,9,8.9
316,무등산,2017-03-21,.3,.5,6.9
316,무등산,2017-03-22,2.5,0,3.1
316,무등산,2017-03-23,4.7,0,4.2
316,무등산,2017-03-24,3.3,0,3.3
316,무등산,2017-03-25,.4,8,2.9
316,무등산,2017-03-26,.1,0,4.9
316,무등산,2017-03-27,-.2,2,6.3
316,무등산,2017-03-28,2.2,1,3.4
316,무등산,2017-03-29,3.3,2,3
316,무등산,2017-03-30,6.5,0,4.8
316,무등산,2017-03-31,3.3,0,3.1
316,무등산,2017-04-01,2.9,0,3.5
316,무등산,2017-04-02,3.7,0,4.4
316,무등산,2017-04-03,7.5,0,4.7
316,무등산,2017-04-04,10.4,0,3.3
316,무등산,2017-04-05,8.9,29.5,8
316,무등산,2017-04-06,9.7,5.5,7.5
316,무등산,2017-04-07,13.9,0,4.7
316,무등산,2017-04-08,14.2,0,3.7
316,무등산,2017-04-09,10.8,0,6.5
316,무등산,2017-04-10,9.9,0,6.2
316,무등산,2017-04-11,5.4,11,6.8
316,무등산,2017-04-12,6.1,0,7.5
316,무등산,2017-04-13,8,0,9.3
316,무등산,2017-04-14,9.5,0,9.8
316,무등산,2017-04-15,14,0,5.8
316,무등산,2017-04-16,16.9,0,4
316,무등산,2017-04-17,11.4,7,6.9
316,무등산,2017-04-18,8.4,0,7.2
316,무등산,2017-04-19,7.9,0,6.1
316,무등산,2017-04-20,8.5,.5,2.8
316,무등산,2017-04-21,10,0,6.1
316,무등산,2017-04-22,10.5,0,5.7
316,무등산,2017-04-23,10.7,0,3
316,무등산,2017-04-24,11,0,5.6
316,무등산,2017-04-25,12.1,5.5,6.3
316,무등산,2017-04-26,9.4,.5,3.2
316,무등산,2017-04-27,7,0,7.5
316,무등산,2017-04-28,10.7,0,8.5
316,무등산,2017-04-29,14.5,0,6.2
316,무등산,2017-04-30,15,0,9.9
316,무등산,2017-05-01,15,0,5.5
316,무등산,2017-05-02,14.5,0,7
316,무등산,2017-05-03,15.2,0,4.6
316,무등산,2017-05-04,14.8,1,3.9
316,무등산,2017-05-05,13.6,8,3.3
316,무등산,2017-05-06,11.5,0,8.2
316,무등산,2017-05-07,12.9,0,9.4
316,무등산,2017-05-08,14.7,0,5.5
316,무등산,2017-05-09,8.7,7,10.9
316,무등산,2017-05-10,10.1,1.5,6.8
316,무등산,2017-05-11,16.9,0,6.9
316,무등산,2017-05-12,14.3,0,7.2
316,무등산,2017-05-13,14.3,0,5.8
316,무등산,2017-05-14,10.7,0,5.8
316,무등산,2017-05-15,10,0,6.6
316,무등산,2017-05-16,11.5,0,5.6
316,무등산,2017-05-17,13.6,0,4
316,무등산,2017-05-18,16.3,0,3.7
316,무등산,2017-05-19,17.6,0,3
316,무등산,2017-05-20,17.4,0,2.8
316,무등산,2017-05-21,16.4,0,2.2
316,무등산,2017-05-22,16.8,0,2.4
316,무등산,2017-05-23,15.1,0,2.3
316,무등산,2017-05-24,15.9,0,3.9
316,무등산,2017-05-25,14.9,0,6.7
316,무등산,2017-05-26,9.9,0,5.6
316,무등산,2017-05-27,14.1,0,3.2
316,무등산,2017-05-28,17.1,0,6.1
316,무등산,2017-05-29,20.5,0,7.6
316,무등산,2017-05-30,20.6,0,2.2
316,무등산,2017-05-31,16.3,0,4.1
316,무등산,2017-06-01,15.9,0,5
316,무등산,2017-06-02,16.5,0,3.6
316,무등산,2017-06-03,14,0,6
316,무등산,2017-06-04,16.4,0,6.8
316,무등산,2017-06-05,17.2,0,6.6
316,무등산,2017-06-06,12.8,7.5,12.2
316,무등산,2017-06-07,12.6,2.5,9.2
316,무등산,2017-06-08,14.1,0,2.8
316,무등산,2017-06-09,16.9,0,5.3
316,무등산,2017-06-10,16.5,0,5.3
316,무등산,2017-06-11,16.9,1,2.2
316,무등산,2017-06-12,13.9,0,4.8
316,무등산,2017-06-13,14.4,.5,4.1
316,무등산,2017-06-14,16.2,0,3.9
316,무등산,2017-06-15,18,0,3.5
316,무등산,2017-06-16,19.5,0,2.7
316,무등산,2017-06-17,19.9,0,2.1
316,무등산,2017-06-18,20.6,0,3.1
316,무등산,2017-06-19,20.8,0,2.6
316,무등산,2017-06-20,16.4,1.5,7.3
316,무등산,2017-06-21,17.7,0,5.2
316,무등산,2017-06-22,18.9,0,2.4
316,무등산,2017-06-23,20,0,3.4
316,무등산,2017-06-24,18.6,0,3.5
316,무등산,2017-06-25,18.4,0,2.4
316,무등산,2017-06-26,17,.5,4.6
316,무등산,2017-06-27,17.1,.5,4
316,무등산,2017-06-28,18.3,.5,2.6
316,무등산,2017-06-29,17.4,0,4.2
316,무등산,2017-06-30,18.6,15.5,3.5
316,무등산,2017-07-01,19.8,0,5.8
316,무등산,2017-07-02,20.5,2,8.9
316,무등산,2017-07-03,20.7,13,9.2
316,무등산,2017-07-04,20.9,13.5,7.2
316,무등산,2017-07-05,22,1,4.2
316,무등산,2017-07-06,20.5,4,3.3
316,무등산,2017-07-07,21,.5,6.6
316,무등산,2017-07-08,21.3,15.5,5.5
316,무등산,2017-07-09,21.8,0,4.3
316,무등산,2017-07-10,21.3,2.5,9.1
316,무등산,2017-07-11,20.7,1.5,4.6
316,무등산,2017-07-12,22.9,0,2.8
316,무등산,2017-07-13,23.4,0,2.5
316,무등산,2017-07-14,22.1,31,3.5
316,무등산,2017-07-15,20.5,25,5.9
316,무등산,2017-07-16,21.9,0,7.8
316,무등산,2017-07-17,21.2,9.5,5.8
316,무등산,2017-07-18,20.7,4,6
316,무등산,2017-07-19,22.5,0,2.4
316,무등산,2017-07-20,23.2,0,3.8
316,무등산,2017-07-21,24.5,0,4.9
316,무등산,2017-07-22,24.3,0,3.1
316,무등산,2017-07-23,23.2,0,4.7
316,무등산,2017-07-24,24,0,5.5
316,무등산,2017-07-25,23.5,0,4.6
316,무등산,2017-07-26,21.6,0,5.2
316,무등산,2017-07-27,22.5,0,3.5
316,무등산,2017-07-28,22.9,.5,2.5
316,무등산,2017-07-29,22.5,0,2.9
316,무등산,2017-07-30,22.2,0,2.2
316,무등산,2017-07-31,21.4,23.5,7
316,무등산,2017-08-01,23.4,1.5,3.2
316,무등산,2017-08-02,22.9,0,2.7
316,무등산,2017-08-03,21.9,0,8.1
316,무등산,2017-08-04,23.6,0,5.4
316,무등산,2017-08-05,24.6,0,6.4
316,무등산,2017-08-06,25.4,38,5.2
