지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
116,관악(레),2017-01-01,1,0,2.2
116,관악(레),2017-01-02,1.8,0,3
116,관악(레),2017-01-03,-1,0,3.5
116,관악(레),2017-01-04,1.2,0,3.6
116,관악(레),2017-01-05,.6,0,3.7
116,관악(레),2017-01-06,1.8,0,3.2
116,관악(레),2017-01-07,2.4,0,1.6
116,관악(레),2017-01-08,2.8,0,2.7
116,관악(레),2017-01-09,-2.7,0,3.5
116,관악(레),2017-01-10,-7.5,0,4.2
116,관악(레),2017-01-11,-7.6,0,3.8
116,관악(레),2017-01-12,-6,0,4.6
116,관악(레),2017-01-13,-10.2,0,4.8
116,관악(레),2017-01-14,-12.7,0,6.8
116,관악(레),2017-01-15,-10.5,0,4.6
116,관악(레),2017-01-16,-6.2,0,2.9
116,관악(레),2017-01-17,-3.9,0,1.8
116,관악(레),2017-01-18,-3.8,0,2.5
116,관악(레),2017-01-19,-3.9,0,2.6
116,관악(레),2017-01-20,-8.7,4,4.6
116,관악(레),2017-01-21,-7.5,.5,2.8
116,관악(레),2017-01-22,-12.3,0,5.3
116,관악(레),2017-01-23,-12.8,0,4
116,관악(레),2017-01-24,-10.4,0,3.4
116,관악(레),2017-01-25,-7.7,0,3
116,관악(레),2017-01-26,-3.4,0,4.1
116,관악(레),2017-01-27,-6.8,1.5,3.7
116,관악(레),2017-01-28,-2.9,0,2.8
116,관악(레),2017-01-29,-1.4,6.5,2.8
116,관악(레),2017-01-30,-9.4,0,2.1
116,관악(레),2017-01-31,-8.2,0,2.3
116,관악(레),2017-02-01,-7.3,0,4.6
116,관악(레),2017-02-02,-6.4,0,4.3
116,관악(레),2017-02-03,-2,0,1.8
116,관악(레),2017-02-04,.3,0,1.7
116,관악(레),2017-02-05,-1.9,1,2.4
116,관악(레),2017-02-06,-6.2,0,5
116,관악(레),2017-02-07,-4.8,0,2.3
116,관악(레),2017-02-08,-5,0,2
116,관악(레),2017-02-09,-9.5,0,4.9
116,관악(레),2017-02-10,-11,0,4.7
116,관악(레),2017-02-11,-9.2,0,4.5
116,관악(레),2017-02-12,-5.6,0,3.4
116,관악(레),2017-02-13,-3.1,0,2.7
116,관악(레),2017-02-14,-3.5,0,3.8
116,관악(레),2017-02-15,-.4,0,2.3
116,관악(레),2017-02-16,3.7,0,5
116,관악(레),2017-02-17,-3.6,3.5,4.8
116,관악(레),2017-02-18,-6.8,0,4.1
116,관악(레),2017-02-19,-1.1,1.5,6.3
116,관악(레),2017-02-20,-5.9,1,6.7
116,관악(레),2017-02-21,-3.2,0,2.4
116,관악(레),2017-02-22,-1.4,5,2.9
116,관악(레),2017-02-23,-6.4,0,3
116,관악(레),2017-02-24,-5,0,3.5
