평균기온,평균최고기온,평균최저기온,평균상대습도,평균운량,합계 일조시간,월,년도
-0.7,3.5,-4.9,50,3.4,184.4,1,2014
1.9,6.6,-1.8,52,4.0,163.9,2,2014
7.9,13.1,3.5,60,3.9,214.7,3,2014
14.0,19.6,9.4,60,4.7,213.2,4,2014
18.9,25.3,13.8,59,3.2,304.0,5,2014
23.1,27.8,19.7,73,6.7,184.9,6,2014
26.1,30.6,22.9,74,6.8,172.7,7,2014
25.2,29.0,22.1,77,7.1,150.7,8,2014
22.1,27.0,18.0,69,4.9,214.3,9,2014
15.6,21.4,10.7,63,3.3,239.8,10,2014
9.0,13.8,4.9,61,4.3,194.1,11,2014
-2.9,1.5,-6.7,56,3.4,195.6,12,2014
-0.9,3.6,-4.8,56,3.9,193.3,1,2015
1.0,6.0,-2.9,59,4.5,180.0,2,2015
6.3,12.4,1.0,45,2.8,270.8,3,2015
13.3,18.8,8.4,55,5.0,216.0,4,2015
18.9,24.9,13.6,53,4.1,290.4,5,2015
23.6,29.5,18.9,60,5.6,258.1,6,2015
25.8,30.0,22.6,71,7.0,176.1,7,2015
26.3,30.8,22.8,70,5.6,207.0,8,2015
22.4,28.1,17.5,56,3.8,262.1,9,2015
15.5,21.2,10.8,61,2.8,239.7,10,2015
8.9,12.7,5.9,74,6.6,109.0,11,2015
1.6,6.0,-2.1,60,4.1,177.8,12,2015
-3.2,1.1,-6.8,53,4.0,196.1,1,2016
0.2,5.1,-4.1,52,3.7,195.2,2,2016
7.0,12.6,2.4,51,3.6,253.7,3,2016
14.1,20.3,9.1,55,4.8,219.5,4,2016
19.6,25.7,14.1,56,4.6,280.1,5,2016
23.6,28.7,19.5,63,5.3,229.7,6,2016
26.2,29.8,23.3,73,7.2,160.4,7,2016
28.0,32.6,24.5,64,4.6,236.1,8,2016
23.1,27.9,19.3,65,5.8,191.6,9,2016
16.1,21.3,11.6,62,5.3,195.7,10,2016
6.8,11.6,2.8,57,4.7,173.3,11,2016
1.2,5.8,-2.7,59,4.7,166.4,12,2016
-1.8,2.9,-5.8,55,3.5,209.0,1,2017
-0.2,4.8,-4.7,54,2.8,210.0,2,2017
6.3,12.3,1.7,48,3.9,255.2,3,2017
13.9,20.0,9.1,52,4.4,259.7,4,2017
19.5,25.4,14.4,52,3.9,301.5,5,2017
23.3,28.8,18.7,57,4.7,285.2,6,2017
26.9,30.4,24.3,77,7.9,123.1,7,2017
25.9,29.7,22.9,71,7.0,166.2,8,2017
22.1,27.4,17.5,61,4.2,233.7,9,2017
16.4,22.5,11.6,56,4.5,222.7,10,2017
5.6,10.5,1.3,54,4.2,163.9,11,2017
-1.9,2.2,-5.7,56,3.9,176.1,12,2017
-4.0,0.1,-7.3,48,4.3,186.7,1,2018
-1.6,3.3,-5.9,45,3.9,194.2,2,2018
8.1,13.6,3.8,59,5.2,209.1,3,2018
13.0,18.5,8.1,55,4.7,223.4,4,2018
18.2,23.3,13.4,63,5.4,231.6,5,2018
23.1,28.4,18.9,63,5.9,236.6,6,2018
27.8,32.1,24.2,68,5.1,228.5,7,2018
28.8,33.3,25.2,65,5.8,232.5,8,2018
21.5,26.0,17.6,61,5.1,218.7,9,2018
13.1,18.6,8.5,59,3.7,241.9,10,2018
7.8,13.2,3.6,58,4.0,177.6,11,2018
-0.6,4.1,-4.7,46,3.8,199.9,12,2018
-0.9,4.1,-5.1,46,3.1,215.0,1,2019
1.0,6.0,-3.2,47,4.8,190.5,2,2019
7.1,12.4,2.7,51,4.7,203.8,3,2019
12.1,17.6,7.2,51,4.9,221.6,4,2019
19.4,25.6,13.7,47,3.8,314.0,5,2019
22.5,27.7,18.1,61,5.4,235.1,6,2019
25.9,30.1,22.7,69,7.2,150.1,7,2019
27.2,31.6,23.6,69,5.6,239.3,8,2019
22.6,27.1,19.0,65,6.6,168.9,9,2019
16.4,21.8,11.8,62,4.2,236.5,10,2019
7.6,12.9,3.1,56,4.1,203.2,11,2019
1.4,5.3,-2.6,58,4.4,164.2,12,2019
