평균기온,평균상대습도,년도,cloud_amount,sun_amount,이용객 수,월_1,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,불쾌지수
-0.7,50,2014,1,2,3008543.0,1,0,0,0,0,0,0,0,0,0,0,0,38.2365
1.9,52,2014,2,1,2908749.0,0,1,0,0,0,0,0,0,0,0,0,0,41.381119999999996
7.9,60,2014,1,2,4563720.0,0,0,1,0,0,0,0,0,0,0,0,0,48.8116
14.0,60,2014,2,2,8242222.0,0,0,0,1,0,0,0,0,0,0,0,0,57.376
18.9,59,2014,1,3,6551307.0,0,0,0,0,1,0,0,0,0,0,0,0,64.21149
23.1,73,2014,3,2,6084170.0,0,0,0,0,0,1,0,0,0,0,0,0,71.26637
26.1,74,2014,3,1,6003831.0,0,0,0,0,0,0,1,0,0,0,0,0,75.97986
25.2,77,2014,3,1,6298113.0,0,0,0,0,0,0,0,1,0,0,0,0,74.91095999999999
22.1,69,2014,2,2,6414526.0,0,0,0,0,0,0,0,0,1,0,0,0,69.43051
15.6,63,2014,1,3,7437783.0,0,0,0,0,0,0,0,0,0,1,0,0,59.65671999999999
9.0,61,2014,2,2,4095622.0,0,0,0,0,0,0,0,0,0,0,1,0,50.302099999999996
-2.9,56,2014,1,2,2876513.0,0,0,0,0,0,0,0,0,0,0,0,1,34.33524
-0.9,56,2015,1,2,2705168.0,1,0,0,0,0,0,0,0,0,0,0,0,37.06403999999999
1.0,59,2015,2,1,2781299.0,0,1,0,0,0,0,0,0,0,0,0,0,39.257099999999994
6.3,45,2015,1,3,4314813.0,0,0,1,0,0,0,0,0,0,0,0,0,47.774649999999994
13.3,55,2015,2,2,6213826.0,0,0,0,1,0,0,0,0,0,0,0,0,56.44985
18.9,53,2015,2,3,7770685.0,0,0,0,0,1,0,0,0,0,0,0,0,63.94682999999999
23.6,60,2015,3,3,5371905.0,0,0,0,0,0,1,0,0,0,0,0,0,70.8544
25.8,71,2015,3,1,6804488.0,0,0,0,0,0,0,1,0,0,0,0,0,75.17982
26.3,70,2015,3,2,13203727.0,0,0,0,0,0,0,0,1,0,0,0,0,75.8189
22.4,56,2015,1,3,8161326.0,0,0,0,0,0,0,0,0,1,0,0,0,68.85455999999999
15.5,61,2015,1,3,8699644.0,0,0,0,0,0,0,0,0,0,1,0,0,59.49245
8.9,74,2015,3,1,1490229.0,0,0,0,0,0,0,0,0,0,0,1,0,49.44714
1.6,60,2015,2,1,1074235.0,0,0,0,0,0,0,0,0,0,0,0,1,39.9664
-3.2,53,2016,2,2,3438959.0,1,0,0,0,0,0,0,0,0,0,0,0,34.44996
0.2,52,2016,1,2,3442621.0,0,1,0,0,0,0,0,0,0,0,0,0,39.12896
7.0,51,2016,1,3,5115738.0,0,0,1,0,0,0,0,0,0,0,0,0,48.211299999999994
14.1,55,2016,2,2,4747476.0,0,0,0,1,0,0,0,0,0,0,0,0,57.53345
19.6,56,2016,2,3,7366536.0,0,0,0,0,1,0,0,0,0,0,0,0,65.03424
23.6,63,2016,3,2,7848587.0,0,0,0,0,0,1,0,0,0,0,0,0,71.12631999999999
