지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균운량(1/10),합계 일조시간(hr)
108,서울,2014-01,-.7,3.5,-4.9,50,13,3.4,184.4
108,서울,2014-02,1.9,6.6,-1.8,52,16.2,4,163.9
108,서울,2014-03,7.9,13.1,3.5,60,7.2,3.9,214.7
108,서울,2014-04,14,19.6,9.4,60,31,4.7,213.2
108,서울,2014-05,18.9,25.3,13.8,59,63,3.2,304
108,서울,2014-06,23.1,27.8,19.7,73,98.1,6.7,184.9
108,서울,2014-07,26.1,30.6,22.9,74,207.9,6.8,172.7
108,서울,2014-08,25.2,29,22.1,77,172.8,7.1,150.7
108,서울,2014-09,22.1,27,18,69,88.1,4.9,214.3
108,서울,2014-10,15.6,21.4,10.7,63,52.2,3.3,239.8
108,서울,2014-11,9,13.8,4.9,61,41.5,4.3,194.1
108,서울,2014-12,-2.9,1.5,-6.7,56,17.9,3.4,195.6
108,서울,2015-01,-.9,3.6,-4.8,56,11.3,3.9,193.3
108,서울,2015-02,1,6,-2.9,59,22.7,4.5,180
108,서울,2015-03,6.3,12.4,1,45,9.6,2.8,270.8
108,서울,2015-04,13.3,18.8,8.4,55,80.5,5,216
108,서울,2015-05,18.9,24.9,13.6,53,28.9,4.1,290.4
108,서울,2015-06,23.6,29.5,18.9,60,99,5.6,258.1
108,서울,2015-07,25.8,30,22.6,71,226,7,176.1
108,서울,2015-08,26.3,30.8,22.8,70,72.9,5.6,207
108,서울,2015-09,22.4,28.1,17.5,56,26,3.8,262.1
108,서울,2015-10,15.5,21.2,10.8,61,81.5,2.8,239.7
108,서울,2015-11,8.9,12.7,5.9,74,104.6,6.6,109
108,서울,2015-12,1.6,6,-2.1,60,29.1,4.1,177.8
108,서울,2016-01,-3.2,1.1,-6.8,53,1,4,196.1
108,서울,2016-02,.2,5.1,-4.1,52,47.6,3.7,195.2
108,서울,2016-03,7,12.6,2.4,51,40.5,3.6,253.7
108,서울,2016-04,14.1,20.3,9.1,55,76.8,4.8,219.5
108,서울,2016-05,19.6,25.7,14.1,56,160.5,4.6,280.1
108,서울,2016-06,23.6,28.7,19.5,63,54.4,5.3,229.7
108,서울,2016-07,26.2,29.8,23.3,73,358.2,7.2,160.4
108,서울,2016-08,28,32.6,24.5,64,67.1,4.6,236.1
108,서울,2016-09,23.1,27.9,19.3,65,33,5.8,191.6
108,서울,2016-10,16.1,21.3,11.6,62,74.8,5.3,195.7
108,서울,2016-11,6.8,11.6,2.8,57,16.7,4.7,173.3
108,서울,2016-12,1.2,5.8,-2.7,59,61.1,4.7,166.4
108,서울,2017-01,-1.8,2.9,-5.8,55,14.9,3.5,209
108,서울,2017-02,-.2,4.8,-4.7,54,11.1,2.8,210
108,서울,2017-03,6.3,12.3,1.7,48,7.9,3.9,255.2
108,서울,2017-04,13.9,20,9.1,52,61.6,4.4,259.7
108,서울,2017-05,19.5,25.4,14.4,52,16.1,3.9,301.5
108,서울,2017-06,23.3,28.8,18.7,57,66.6,4.7,285.2
108,서울,2017-07,26.9,30.4,24.3,77,621,7.9,123.1
108,서울,2017-08,25.9,29.7,22.9,71,297,7,166.2
108,서울,2017-09,22.1,27.4,17.5,61,35,4.2,233.7
108,서울,2017-10,16.4,22.5,11.6,56,26.5,4.5,222.7
108,서울,2017-11,5.6,10.5,1.3,54,40.7,4.2,163.9
108,서울,2017-12,-1.9,2.2,-5.7,56,34.8,3.9,176.1
108,서울,2018-01,-4,.1,-7.3,48,8.5,4.3,186.7
108,서울,2018-02,-1.6,3.3,-5.9,45,29.6,3.9,194.2
108,서울,2018-03,8.1,13.6,3.8,59,49.5,5.2,209.1
108,서울,2018-04,13,18.5,8.1,55,130.3,4.7,223.4
108,서울,2018-05,18.2,23.3,13.4,63,222,5.4,231.6
108,서울,2018-06,23.1,28.4,18.9,63,171.5,5.9,236.6
108,서울,2018-07,27.8,32.1,24.2,68,185.6,5.1,228.5
108,서울,2018-08,28.8,33.3,25.2,65,202.6,5.8,232.5
108,서울,2018-09,21.5,26,17.6,61,68.5,5.1,218.7
108,서울,2018-10,13.1,18.6,8.5,59,120.5,3.7,241.9
108,서울,2018-11,7.8,13.2,3.6,58,79.1,4,177.6
108,서울,2018-12,-.6,4.1,-4.7,46,16.4,3.8,199.9
108,서울,2019-01,-.9,4.1,-5.1,46,0,3.1,215
108,서울,2019-02,1,6,-3.2,47,23.8,4.8,190.5
108,서울,2019-03,7.1,12.4,2.7,51,26.8,4.7,203.8
108,서울,2019-04,12.1,17.6,7.2,51,47.3,4.9,221.6
108,서울,2019-05,19.4,25.6,13.7,47,37.8,3.8,314
108,서울,2019-06,22.5,27.7,18.1,61,74,5.4,235.1
108,서울,2019-07,25.9,30.1,22.7,69,194.4,7.2,150.1
108,서울,2019-08,27.2,31.6,23.6,69,190.5,5.6,239.3
108,서울,2019-09,22.6,27.1,19,65,139.8,6.6,168.9
108,서울,2019-10,16.4,21.8,11.8,62,55.5,4.2,236.5
108,서울,2019-11,7.6,12.9,3.1,56,78.8,4.1,203.2
108,서울,2019-12,1.4,5.3,-2.6,58,22.6,4.4,164.2
