기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.01	합계	3,008,543	1,141,518	391,969	733,291	32,677	562,013	147,075
2014.01	광나루	99,320	53,455	8,505	33,544	387	-	3,429
2014.01	잠실	164,429	86,888	10,397	47,295	2,476	-	17,373
2014.01	뚝섬	1,122,210	370,010	233,840	267,245	8,410	203,418	39,287
2014.01	잠원	161,152	100,321	10,287	38,838	-	-	11,706
2014.01	반포	143,278	69,263	31,338	36,666	17	-	5,994
2014.01	이촌	222,170	85,530	47,310	82,060	-	-	7,270
2014.01	여의도	573,787	145,808	18,035	55,147	17,100	281,430	56,267
2014.01	양화	117,184	51,774	12,660	49,781	900	-	2,069
2014.01	망원	140,840	83,720	16,330	38,630	1,570	-	590
2014.01	난지	194,874	64,314	900	47,945	1,780	77,165	2,770
2014.01	강서	69,299	30,435	2,367	36,140	37	-	320
2014.02	합계	2,908,749	1,178,270	376,223	733,433	53,118	475,346	92,359
2014.02	광나루	103,784	43,427	11,982	33,224	12,389	-	2,762
2014.02	잠실	168,124	89,708	11,471	45,931	5,650	-	15,364
2014.02	뚝섬	1,042,352	399,490	207,625	241,265	6,760	176,220	10,992
2014.02	잠원	159,839	95,137	11,539	41,614	3,500	-	8,049
2014.02	반포	126,817	54,991	29,334	36,811	-	-	5,681
2014.02	이촌	220,990	90,100	46,130	77,745	-	-	7,015
2014.02	여의도	580,434	183,281	19,934	63,327	18,823	259,911	35,158
2014.02	양화	109,460	50,396	12,176	44,228	1,050	-	1,610
2014.02	망원	135,890	74,140	14,785	44,810	1,315	-	840
2014.02	난지	164,187	60,235	8,607	49,565	2,029	39,215	4,536
2014.02	강서	96,872	37,365	2,640	54,913	1,602	-	352
2014.03	합계	4,563,720	1,890,267	487,435	1,081,649	67,079	911,329	125,961
2014.03	광나루	114,820	50,951	15,960	44,094	3,429	-	386
2014.03	잠실	244,399	121,761	13,877	80,028	12,943	-	15,790
2014.03	뚝섬	1,203,765	395,830	238,340	281,080	12,870	262,041	13,604
2014.03	잠원	219,432	123,554	16,725	69,058	-	-	10,095
2014.03	반포	167,561	75,386	36,205	49,386	-	-	6,584
2014.03	이촌	298,295	135,640	64,330	90,730	300	-	7,295
2014.03	여의도	1,400,863	629,302	30,044	129,639	28,994	528,758	54,126
2014.03	양화	235,076	105,607	30,223	96,286	1,500	-	1,460
2014.03	망원	193,530	100,420	23,604	65,946	1,660	-	1,900
2014.03	난지	350,026	103,151	14,044	92,825	5,262	120,530	14,214
2014.03	강서	135,953	48,665	4,083	82,577	121	-	507
2014.04	합계	8,242,222	4,410,449	561,156	1,457,821	131,824	1,487,208	193,764
2014.04	광나루	184,646	70,219	32,693	74,718	2,058	-	4,958
2014.04	잠실	224,716	122,709	9,393	77,477	6,406	-	8,731
2014.04	뚝섬	1,386,969	409,050	242,205	344,080	63,850	299,154	28,630
2014.04	잠원	184,164	103,880	18,777	53,828	120	-	7,559
2014.04	반포	227,968	96,465	47,494	73,775	1,440	625	8,169
2014.04	이촌	331,444	134,310	64,695	122,900	-	-	9,539
2014.04	여의도	4,427,790	2,952,240	34,523	236,480	28,001	1,084,764	91,782
2014.04	양화	449,679	219,692	34,586	184,818	7,823	-	2,760
2014.04	망원	258,732	119,980	45,317	85,525	5,565	-	2,345
2014.04	난지	401,793	129,356	19,170	106,255	15,330	102,665	29,017
2014.04	강서	164,321	52,548	12,303	97,965	1,231	-	274
2014.05	합계	6,551,307	2,521,336	600,125	1,779,664	113,776	1,347,128	189,278
2014.05	광나루	214,372	72,741	34,625	103,243	1,645	-	2,118
2014.05	잠실	281,757	141,263	15,829	105,523	5,826	-	13,316
2014.05	뚝섬	1,343,058	435,217	204,747	342,569	22,485	310,802	27,238
2014.05	잠원	169,055	94,222	16,562	52,480	-	-	5,791
2014.05	반포	286,222	119,770	62,089	94,572	369	6,510	2,912
2014.05	이촌	406,125	161,670	75,785	151,130	-	-	17,540
2014.05	여의도	2,107,003	855,023	33,706	272,033	22,158	849,091	74,992
2014.05	양화	548,050	224,172	42,935	272,742	3,924	-	4,277
2014.05	망원	301,595	125,060	59,560	107,670	5,825	-	3,480
2014.05	난지	624,089	219,941	29,719	106,145	50,485	180,725	37,074
2014.05	강서	269,981	72,257	24,568	171,557	1,059	-	540
2014.06	합계	6,084,170	2,357,993	561,799	1,596,690	128,608	1,243,755	195,325
2014.06	광나루	216,566	82,610	40,720	87,628	2,513	-	3,095
2014.06	잠실	255,282	121,470	20,565	94,163	6,397	-	12,687
2014.06	뚝섬	1,417,531	449,215	200,600	317,975	42,770	362,972	43,999
2014.06	잠원	158,793	95,504	11,810	44,416	-	-	7,063
2014.06	반포	336,932	122,186	53,628	96,708	571	62,706	1,133
2014.06	이촌	401,053	147,480	72,470	165,550	-	-	15,553
2014.06	여의도	1,745,469	770,860	20,713	196,279	32,426	652,264	72,927
2014.06	양화	442,814	169,464	41,954	223,117	4,577	-	3,702
2014.06	망원	327,021	141,680	65,365	107,320	5,550	-	7,106
2014.06	난지	520,938	189,420	4,451	100,450	33,175	165,813	27,629
2014.06	강서	261,771	68,104	29,523	163,084	629	-	431
2014.07	합계	6,003,831	2,164,433	505,099	1,565,295	53,563	1,358,339	357,102
2014.07	광나루	268,676	86,225	36,926	111,542	8,487	-	25,496
2014.07	잠실	263,842	117,179	22,913	81,348	5,448	-	36,954
2014.07	뚝섬	1,520,135	458,255	155,223	389,200	22,507	377,515	117,435
2014.07	잠원	193,132	97,415	12,450	49,003	-	-	34,264
2014.07	반포	359,837	126,356	53,738	93,817	272	84,554	1,100
2014.07	이촌	350,524	123,450	59,110	151,720	-	-	16,244
2014.07	여의도	1,558,510	599,346	17,524	164,220	7,607	701,725	68,088
2014.07	양화	363,458	138,277	35,324	183,272	2,288	-	4,297
2014.07	망원	340,160	140,640	58,610	103,850	2,800	-	34,260
2014.07	난지	529,573	202,672	20,643	89,745	3,505	194,545	18,463
2014.07	강서	255,984	74,618	32,638	147,578	649	-	501
2014.08	합계	6,298,113	2,397,230	540,366	1,591,506	70,020	1,365,409	333,582
2014.08	광나루	288,194	95,349	43,637	128,782	4,281	-	16,145
2014.08	잠실	295,086	128,953	25,202	95,152	9,179	-	36,600
2014.08	뚝섬	1,543,288	483,045	153,545	346,983	30,126	426,502	103,087
2014.08	잠원	215,919	108,968	14,849	57,030	30	-	35,042
2014.08	반포	432,527	152,719	61,549	118,768	3,692	94,336	1,463
2014.08	이촌	341,509	128,225	57,345	143,290	-	-	12,649
2014.08	여의도	1,524,157	636,938	11,719	136,429	10,066	657,839	71,166
2014.08	양화	422,059	181,135	45,496	189,343	2,979	-	3,106
2014.08	망원	350,338	137,910	62,260	109,680	3,045	-	37,443
2014.08	난지	589,948	255,866	22,976	102,210	5,770	186,732	16,394
2014.08	강서	295,088	88,122	41,788	163,839	852	-	487
2014.09	합계	6,414,526	2,398,259	512,704	1,799,076	202,864	1,353,891	147,732
2014.09	광나루	350,311	145,561	51,875	138,062	7,493	-	7,320
2014.09	잠실	272,496	121,750	25,690	105,362	8,487	-	11,207
2014.09	뚝섬	1,394,542	507,331	112,415	360,183	15,530	366,985	32,098
2014.09	잠원	191,073	99,968	24,716	59,575	540	-	6,274
2014.09	반포	459,700	155,778	61,146	116,478	5,601	118,329	2,368
2014.09	이촌	446,652	132,976	58,290	240,620	-	-	14,766
2014.09	여의도	1,584,113	600,535	12,622	162,541	101,810	671,382	35,223
2014.09	양화	397,599	159,081	37,233	191,680	4,340	-	5,265
2014.09	망원	318,820	135,530	66,050	108,280	4,440	-	4,520
2014.09	난지	625,419	229,735	22,485	98,815	49,010	197,195	28,179
2014.09	강서	373,801	110,014	40,182	217,480	5,613	-	512
2014.10	합계	7,437,783	2,341,935	520,902	1,550,398	1,549,963	1,339,119	135,466
2014.10	광나루	350,007	141,618	57,959	139,495	4,260	-	6,675
2014.10	잠실	224,484	98,298	23,089	79,190	13,642	-	10,265
2014.10	뚝섬	1,224,536	376,171	122,337	307,555	31,443	363,511	23,519
2014.10	잠원	179,628	104,165	12,240	50,930	4,990	-	7,303
2014.10	반포	495,673	156,425	56,312	111,635	45,745	123,406	2,150
2014.10	이촌	919,071	163,590	66,650	164,848	506,300	-	17,683
2014.10	여의도	2,298,319	503,681	16,438	146,495	922,977	673,732	34,996
2014.10	양화	447,854	206,860	37,113	190,986	7,546	-	5,349
2014.10	망원	504,930	322,550	72,070	101,620	3,860	-	4,830
2014.10	난지	493,456	176,040	14,763	95,080	6,860	178,470	22,243
2014.10	강서	299,825	92,537	41,931	162,564	2,340	-	453
2014.11	합계	4,095,622	1,482,600	404,461	1,116,780	97,185	916,609	77,987
2014.11	광나루	310,445	123,368	49,987	126,937	9,400	-	753
2014.11	잠실	154,626	70,442	15,772	59,629	4,078	-	4,705
2014.11	뚝섬	933,630	319,580	95,496	224,020	36,112	240,588	17,834
2014.11	잠원	150,566	87,626	9,140	48,818	-	-	4,982
2014.11	반포	291,596	95,793	42,583	70,427	15,130	66,299	1,364
2014.11	이촌	294,726	109,360	49,890	125,430	500	-	9,546
2014.11	여의도	800,349	223,445	9,787	91,992	20,944	428,162	26,019
2014.11	양화	211,473	85,945	28,087	90,972	3,888	-	2,581
2014.11	망원	221,545	93,540	51,470	72,440	1,855	-	2,240
2014.11	난지	535,360	210,096	18,583	114,460	3,070	181,560	7,591
2014.11	강서	191,306	63,405	33,666	91,655	2,208	-	372
2014.12	합계	2,876,513	1,377,995	243,727	649,509	20,339	525,916	59,027
2014.12	광나루	222,250	91,784	40,365	85,831	3,820	-	450
2014.12	잠실	98,710	47,373	8,554	35,003	3,583	-	4,197
2014.12	뚝섬	936,013	574,572	52,934	170,541	4,745	117,739	15,482
2014.12	잠원	113,681	64,989	10,392	29,865	-	-	8,435
2014.12	반포	232,152	76,314	34,454	51,630	24	68,670	1,060
2014.12	이촌	153,716	71,130	25,770	51,840	-	-	4,976
2014.12	여의도	450,399	145,060	5,629	32,202	2,601	245,182	19,725
2014.12	양화	106,536	54,424	13,123	36,440	1,200	-	1,349
2014.12	망원	147,310	71,970	29,995	42,810	1,395	-	1,140
2014.12	난지	325,405	143,215	7,498	75,680	2,610	94,325	2,077
2014.12	강서	90,341	37,164	15,013	37,667	361	-	136
2015.01	합계	2,705,168	1,145,639	304,201	658,457	25,976	482,738	88,157
