일반이용자,운동시설,자전거,월,년도
"1,141,518","391,969","733,291",1,2014
"1,178,270","376,223","733,433",2,2014
"1,890,267","487,435","1,081,649",3,2014
"4,410,449","561,156","1,457,821",4,2014
"2,521,336","600,125","1,779,664",5,2014
"2,357,993","561,799","1,596,690",6,2014
"2,164,433","505,099","1,565,295",7,2014
"2,397,230","540,366","1,591,506",8,2014
"2,398,259","512,704","1,799,076",9,2014
"2,341,935","520,902","1,550,398",10,2014
"1,482,600","404,461","1,116,780",11,2014
"1,377,995","243,727","649,509",12,2014
"1,145,639","304,201","658,457",1,2015
"1,112,492","307,485","725,456",2,2015
"1,692,477","455,776","1,159,344",3,2015
"2,427,928","497,499","1,443,956",4,2015
"2,887,237","648,716","1,841,912",5,2015
"1,793,712","581,909","1,532,445",6,2015
"2,246,777","631,723","1,514,528",7,2015
"5,008,693","1,383,789","2,576,813",8,2015
"2,830,657","689,146","1,919,671",9,2015
"3,135,463","680,469","923,954",10,2015
"559,965","226,141","369,010",11,2015
"417,675","136,556","151,321",12,2015
"1,387,693","394,001","820,721",1,2016
"1,420,766","383,142","808,188",2,2016
"2,078,992","586,134","1,288,194",3,2016
"1,904,387","594,729","1,378,288",4,2016
"2,603,900","657,589","1,617,165",5,2016
"2,721,851","742,897","1,851,486",6,2016
"2,867,123","828,544","1,781,744",7,2016
"3,206,130","868,085","2,094,210",8,2016
"2,513,546","693,121","1,698,304",9,2016
"2,539,286","713,160","1,583,786",10,2016
"810,211","288,919","452,742",11,2016
"761,380","288,252","445,545",12,2016
"1,474,668","410,211","894,080",1,2017
"1,428,205","420,223","888,555",2,2017
"2,074,871","652,877","1,477,278",3,2017
"2,617,811","674,099","1,688,858",4,2017
"2,647,920","698,788","1,929,505",5,2017
"2,453,112","675,743","1,701,350",6,2017
"2,526,968","738,904","1,481,614",7,2017
"2,690,378","791,819","1,675,052",8,2017
"3,121,662","788,239","1,719,288",9,2017
"3,018,160","638,332","1,483,443",10,2017
"1,859,099","489,277","999,541",11,2017
"1,731,397","479,267","820,470",12,2017
"1,726,414","479,716","845,019",1,2018
"1,561,786","461,089","811,389",2,2018
"2,014,381","589,406","1,108,707",3,2018
"4,867,322","604,045","1,384,049",4,2018
"2,852,303","686,814","1,448,703",5,2018
"2,742,059","688,290","1,494,893",6,2018
"2,571,746","695,114","1,298,300",7,2018
"2,626,243","745,182","1,284,106",8,2018
"2,736,112","754,007","1,432,475",9,2018
"3,191,752","658,288","1,292,169",10,2018
"1,802,854","528,437","967,316",11,2018
"1,585,072","447,140","691,047",12,2018
"1,583,371","448,140","771,931",1,2019
"1,566,327","420,304","752,672",2,2019
"2,126,485","557,683","1,200,984",3,2019
"3,072,127","634,333","1,336,018",4,2019
"3,784,888","701,197","1,329,203",5,2019
"2,978,289","777,619","1,352,399",6,2019
"2,557,336","634,885","1,229,723",7,2019
"3,096,697","694,140","1,339,870",8,2019
"3,066,651","769,247","1,279,021",9,2019
"2,995,668","789,492","1,323,800",10,2019
"1,567,395","631,068","893,513",11,2019
"1,442,621","547,160","731,719",12,2019
