년도,월,평균기온,평균최고기온,평균최저기온,평균상대습도,평균운량,합계 일조시간,일반이용자,운동시설,자전거
2014,1,-0.7,3.5,-4.9,50,3.4,184.4,"1,141,518","391,969","733,291"
2014,2,1.9,6.6,-1.8,52,4.0,163.9,"1,178,270","376,223","733,433"
2014,3,7.9,13.1,3.5,60,3.9,214.7,"1,890,267","487,435","1,081,649"
2014,4,14.0,19.6,9.4,60,4.7,213.2,"4,410,449","561,156","1,457,821"
2014,5,18.9,25.3,13.8,59,3.2,304.0,"2,521,336","600,125","1,779,664"
2014,6,23.1,27.8,19.7,73,6.7,184.9,"2,357,993","561,799","1,596,690"
2014,7,26.1,30.6,22.9,74,6.8,172.7,"2,164,433","505,099","1,565,295"
2014,8,25.2,29.0,22.1,77,7.1,150.7,"2,397,230","540,366","1,591,506"
2014,9,22.1,27.0,18.0,69,4.9,214.3,"2,398,259","512,704","1,799,076"
2014,10,15.6,21.4,10.7,63,3.3,239.8,"2,341,935","520,902","1,550,398"
2014,11,9.0,13.8,4.9,61,4.3,194.1,"1,482,600","404,461","1,116,780"
2014,12,-2.9,1.5,-6.7,56,3.4,195.6,"1,377,995","243,727","649,509"
2015,1,-0.9,3.6,-4.8,56,3.9,193.3,"1,145,639","304,201","658,457"
2015,2,1.0,6.0,-2.9,59,4.5,180.0,"1,112,492","307,485","725,456"
2015,3,6.3,12.4,1.0,45,2.8,270.8,"1,692,477","455,776","1,159,344"
2015,4,13.3,18.8,8.4,55,5.0,216.0,"2,427,928","497,499","1,443,956"
2015,5,18.9,24.9,13.6,53,4.1,290.4,"2,887,237","648,716","1,841,912"
2015,6,23.6,29.5,18.9,60,5.6,258.1,"1,793,712","581,909","1,532,445"
2015,7,25.8,30.0,22.6,71,7.0,176.1,"2,246,777","631,723","1,514,528"
2015,8,26.3,30.8,22.8,70,5.6,207.0,"5,008,693","1,383,789","2,576,813"
2015,9,22.4,28.1,17.5,56,3.8,262.1,"2,830,657","689,146","1,919,671"
2015,10,15.5,21.2,10.8,61,2.8,239.7,"3,135,463","680,469","923,954"
2015,11,8.9,12.7,5.9,74,6.6,109.0,"559,965","226,141","369,010"
2015,12,1.6,6.0,-2.1,60,4.1,177.8,"417,675","136,556","151,321"
2016,1,-3.2,1.1,-6.8,53,4.0,196.1,"1,387,693","394,001","820,721"
2016,2,0.2,5.1,-4.1,52,3.7,195.2,"1,420,766","383,142","808,188"
2016,3,7.0,12.6,2.4,51,3.6,253.7,"2,078,992","586,134","1,288,194"
